LeMond Revolution,FW 0.31,HW 1.0,STN,220509,8:25,,,
secs,SPEED,DIST,POWER,heart,cadence,CALORIES,TORQUE,target
0:00:01,29.2,0,110,0,81,0,12,0
0:00:02,29.2,0,110,0,81,0,12,0
0:00:03,29.9,0,110,0,83,0,12,0
0:00:04,29.9,0,110,0,83,0,12,0
0:00:05,29.9,0,110,0,83,0,12,0
0:00:06,30.6,0,110,0,85,0,12,0
0:00:07,30.6,0.1,110,0,85,0,12,0
0:00:08,31,0.1,110,0,86,1,12,0
0:00:09,31,0.1,110,0,86,1,12,0
0:00:10,31,0.1,110,0,86,1,12,0
0:00:11,31,0.1,110,0,86,1,12,0
0:00:12,31,0.1,110,0,86,1,12,0
0:00:13,31,0.1,110,0,86,1,12,0
0:00:14,31,0.1,110,0,86,1,12,0
0:00:15,31.3,0.1,110,0,87,1,12,0
0:00:16,31,0.1,110,0,86,1,12,0
0:00:17,31,0.1,110,0,86,2,12,0
0:00:18,31.3,0.1,110,0,87,2,12,0
0:00:19,31.3,0.2,110,0,87,2,12,0
0:00:20,30.6,0.2,110,0,85,2,12,0
0:00:21,30.2,0.2,110,0,84,2,12,0
0:00:22,30.6,0.2,110,0,85,2,12,0
0:00:23,30.6,0.2,110,0,85,2,12,0
0:00:24,30.6,0.2,110,0,85,2,12,0
0:00:25,30.6,0.2,110,0,85,3,12,0
0:00:26,30.6,0.2,110,0,85,3,12,0
0:00:27,30.6,0.2,110,0,85,3,12,0
0:00:28,30.6,0.2,110,0,85,3,12,0
0:00:29,30.6,0.2,110,0,85,3,12,0
0:00:30,30.6,0.2,110,0,85,3,12,0
0:00:31,30.6,0.3,110,0,85,3,12,0
0:00:32,30.6,0.3,110,0,85,3,12,0
0:00:33,30.6,0.3,110,0,85,4,12,0
0:00:34,30.6,0.3,110,0,85,4,12,0
0:00:35,30.6,0.3,110,0,85,4,12,0
0:00:36,30.6,0.3,110,0,85,4,12,0
0:00:37,30.6,0.3,110,0,85,4,12,0
0:00:38,30.6,0.3,110,0,85,4,12,0
0:00:39,30.6,0.3,110,0,85,4,12,0
0:00:40,30.6,0.3,110,0,85,4,12,0
0:00:41,31,0.3,110,0,86,4,12,0
0:00:42,30.6,0.3,110,0,85,5,12,0
0:00:43,30.2,0.3,110,0,84,5,12,0
0:00:44,29.9,0.4,110,0,83,5,12,0
0:00:45,29.2,0.4,110,0,81,5,12,0
0:00:46,29.2,0.4,110,0,81,5,12,0
0:00:47,29.9,0.4,110,0,83,5,12,0
0:00:48,29.9,0.4,110,0,83,5,12,0
0:00:49,30.6,0.4,110,0,85,6,12,0
0:00:50,30.6,0.4,110,0,85,6,12,0
0:00:51,30.6,0.4,110,0,85,6,12,0
0:00:52,30.2,0.4,110,0,84,6,12,0
0:00:53,30.2,0.4,110,0,84,6,12,0
0:00:54,30.2,0.4,110,0,84,6,12,0
0:00:55,29.9,0.4,110,0,83,6,12,0
0:00:56,29.9,0.5,110,0,83,6,12,0
0:00:57,29.9,0.5,110,0,83,7,12,0
0:00:58,29.9,0.5,110,0,83,7,12,0
0:00:59,29.9,0.5,110,0,83,7,12,0
0:01:00,29.9,0.5,110,0,83,7,12,0
0:01:01,29.9,0.5,110,0,83,7,12,0
0:01:02,29.5,0.5,110,0,82,7,12,0
0:01:03,29.9,0.5,110,0,83,7,12,0
0:01:04,29.9,0.5,110,0,83,7,12,0
0:01:05,29.9,0.5,110,0,83,8,12,0
0:01:06,29.9,0.5,110,0,83,8,12,0
0:01:07,30.6,0.5,110,0,85,8,12,0
0:01:08,30.2,0.6,110,0,84,8,12,0
0:01:09,30.2,0.6,110,0,84,8,12,0
0:01:10,30.2,0.6,110,0,84,8,12,0
0:01:11,30.2,0.6,110,0,84,8,12,0
0:01:12,30.2,0.6,110,0,84,8,12,0
0:01:13,30.2,0.6,110,0,84,9,12,0
0:01:14,29.9,0.6,110,0,83,9,12,0
0:01:15,29.9,0.6,110,0,83,9,12,0
0:01:16,29.9,0.6,110,0,83,9,12,0
0:01:17,30.2,0.6,110,0,84,9,12,0
0:01:18,30.2,0.6,110,0,84,9,12,0
0:01:19,30.2,0.6,110,0,84,9,12,0
0:01:20,30.2,0.7,110,0,84,9,12,0
0:01:21,30.2,0.7,110,0,84,10,12,0
0:01:22,30.2,0.7,110,0,84,10,12,0
0:01:23,30.2,0.7,110,0,84,10,12,0
0:01:24,30.2,0.7,110,0,84,10,12,0
0:01:25,29.9,0.7,110,0,83,10,12,0
0:01:26,29.9,0.7,110,0,83,10,12,0
0:01:27,29.9,0.7,110,0,83,10,12,0
0:01:28,30.2,0.7,110,0,84,10,12,0
0:01:29,30.2,0.7,110,0,84,11,12,0
0:01:30,30.2,0.7,110,0,84,11,12,0
0:01:31,30.6,0.7,110,0,85,11,12,0
0:01:32,30.6,0.8,110,0,85,11,12,0
0:01:33,30.6,0.8,110,0,85,11,12,0
0:01:34,30.6,0.8,110,0,85,11,12,0
0:01:35,30.6,0.8,110,0,85,11,12,0
0:01:36,30.6,0.8,110,0,85,12,12,0
0:01:37,30.6,0.8,110,0,85,12,12,0
0:01:38,30.6,0.8,110,0,85,12,12,0
0:01:39,30.6,0.8,110,0,85,12,12,0
0:01:40,30.2,0.8,110,0,84,12,12,0
0:01:41,30.2,0.8,110,0,84,12,12,0
0:01:42,30.2,0.8,110,0,84,12,12,0
0:01:43,30.6,0.9,110,0,85,12,12,0
0:01:44,31,0.9,110,0,86,13,12,0
0:01:45,31,0.9,110,0,86,13,12,0
0:01:46,31.3,0.9,110,0,87,13,12,0
0:01:47,31.3,0.9,110,0,87,13,12,0
0:01:48,32,0.9,110,0,89,13,11,0
0:01:49,32.4,0.9,110,0,90,13,11,0
0:01:50,32.4,0.9,110,0,90,13,11,0
0:01:51,32.4,0.9,110,0,90,13,11,0
0:01:52,32,0.9,110,0,89,14,11,0
0:01:53,31.7,0.9,110,0,88,14,11,0
0:01:54,31.7,0.9,110,0,88,14,11,0
0:01:55,31.7,1,110,0,88,14,11,0
0:01:56,32,1,110,0,89,14,11,0
0:01:57,32,1,110,0,89,14,11,0
0:01:58,32.4,1,110,0,90,14,11,0
0:01:59,32.4,1,110,0,90,14,11,0
0:02:00,32.8,1,110,0,91,15,11,0
0:02:01,32.8,1,110,0,91,15,11,0
0:02:02,32.8,1,110,0,91,15,11,0
0:02:03,32.8,1,110,0,91,15,11,0
0:02:04,32.8,1,110,0,91,15,11,0
0:02:05,32.4,1,110,0,90,15,11,0
0:02:06,32.4,1.1,110,0,90,15,11,0
0:02:07,32.4,1.1,110,0,90,15,11,0
0:02:08,32.4,1.1,110,0,90,16,11,0
0:02:09,32,1.1,110,0,89,16,11,0
0:02:10,32,1.1,110,0,89,16,11,0
0:02:11,32,1.1,110,0,89,16,11,0
0:02:12,32,1.1,110,0,89,16,11,0
0:02:13,32,1.1,110,0,89,16,11,0
0:02:14,32,1.1,110,0,89,16,11,0
0:02:15,32,1.1,110,0,89,16,11,0
0:02:16,32,1.1,110,0,89,17,11,0
0:02:17,32.4,1.2,110,0,90,17,11,0
0:02:18,32.4,1.2,110,0,90,17,11,0
0:02:19,32.4,1.2,110,0,90,17,11,0
0:02:20,32.4,1.2,110,0,90,17,11,0
0:02:21,32.4,1.2,110,0,90,17,11,0
0:02:22,32.4,1.2,110,0,90,17,11,0
0:02:23,32.8,1.2,110,0,91,18,11,0
0:02:24,32.8,1.2,110,0,91,18,11,0
0:02:25,32.8,1.2,110,0,91,18,11,0
0:02:26,32.4,1.2,110,0,90,18,11,0
0:02:27,32.4,1.2,110,0,90,18,11,0
0:02:28,32.4,1.3,110,0,90,18,11,0
0:02:29,32,1.3,110,0,89,18,11,0
0:02:30,32,1.3,110,0,89,18,11,0
0:02:31,32,1.3,110,0,89,19,11,0
0:02:32,32,1.3,110,0,89,19,11,0
0:02:33,32,1.3,110,0,89,19,11,0
0:02:34,32,1.3,110,0,89,19,11,0
0:02:35,32,1.3,110,0,89,19,11,0
0:02:36,32,1.3,110,0,89,19,11,0
0:02:37,32,1.3,110,0,89,19,11,0
0:02:38,32,1.3,110,0,89,19,11,0
0:02:39,32,1.4,110,0,89,20,11,0
0:02:40,32,1.4,110,0,89,20,11,0
0:02:41,31.7,1.4,110,0,88,20,11,0
0:02:42,31.7,1.4,110,0,88,20,11,0
0:02:43,32,1.4,110,0,89,20,11,0
0:02:44,32,1.4,110,0,89,20,11,0
0:02:45,32,1.4,110,0,89,20,11,0
0:02:46,32,1.4,110,0,89,20,11,0
0:02:47,32,1.4,110,0,89,21,11,0
0:02:48,32,1.4,110,0,89,21,11,0
0:02:49,32,1.4,110,0,89,21,11,0
0:02:50,32,1.4,110,0,89,21,11,0
0:02:51,32,1.5,110,0,89,21,11,0
0:02:52,32,1.5,110,0,89,21,11,0
0:02:53,32,1.5,110,0,89,21,11,0
0:02:54,32,1.5,110,0,89,21,11,0
0:02:55,32,1.5,110,0,89,22,11,0
0:02:56,32,1.5,110,0,89,22,11,0
0:02:57,32,1.5,110,0,89,22,11,0
0:02:58,32,1.5,110,0,89,22,11,0
0:02:59,32,1.5,110,0,89,22,11,0
0:03:00,32,1.5,110,0,89,22,11,0
0:03:01,32,1.5,110,0,89,22,11,0
0:03:02,32,1.6,110,0,89,22,11,0
0:03:03,32,1.6,110,0,89,23,11,0
0:03:04,31.7,1.6,110,0,88,23,11,0
0:03:05,31.7,1.6,110,0,88,23,11,0
0:03:06,31.3,1.6,110,0,87,23,12,0
0:03:07,31.3,1.6,110,0,87,23,12,0
0:03:08,31.3,1.6,110,0,87,23,12,0
0:03:09,31.3,1.6,110,0,87,23,12,0
0:03:10,31.3,1.6,110,0,87,24,12,0
0:03:11,31.3,1.6,110,0,87,24,12,0
0:03:12,32,1.6,110,0,89,24,11,0
0:03:13,32,1.7,110,0,89,24,11,0
0:03:14,32,1.7,110,0,89,24,11,0
0:03:15,32,1.7,110,0,89,24,11,0
0:03:16,32,1.7,110,0,89,24,11,0
0:03:17,32,1.7,110,0,89,24,11,0
0:03:18,32,1.7,110,0,89,25,11,0
0:03:19,32.4,1.7,110,0,90,25,11,0
0:03:20,32,1.7,110,0,89,25,11,0
0:03:21,32,1.7,110,0,89,25,11,0
0:03:22,32,1.7,110,0,89,25,11,0
0:03:23,32,1.7,110,0,89,25,11,0
0:03:24,32,1.8,110,0,89,25,11,0
0:03:25,32,1.8,110,0,89,25,11,0
0:03:26,32,1.8,110,0,89,26,11,0
0:03:27,32,1.8,110,0,89,26,11,0
0:03:28,32,1.8,110,0,89,26,11,0
0:03:29,32,1.8,110,0,89,26,11,0
0:03:30,32,1.8,110,0,89,26,11,0
0:03:31,32,1.8,110,0,89,26,11,0
0:03:32,32,1.8,110,0,89,26,11,0
0:03:33,32,1.8,110,0,89,26,11,0
0:03:34,32.4,1.8,110,0,90,27,11,0
0:03:35,32.4,1.8,110,0,90,27,11,0
0:03:36,32.4,1.9,110,0,90,27,11,0
0:03:37,32.4,1.9,110,0,90,27,11,0
0:03:38,32.4,1.9,110,0,90,27,11,0
0:03:39,32.4,1.9,110,0,90,27,11,0
0:03:40,32.4,1.9,110,0,90,27,11,0
0:03:41,32.4,1.9,110,0,90,27,11,0
0:03:42,32.4,1.9,110,0,90,28,11,0
0:03:43,32.4,1.9,110,0,90,28,11,0
0:03:44,32.4,1.9,110,0,90,28,11,0
0:03:45,32.4,1.9,110,0,90,28,11,0
0:03:46,32.4,1.9,110,0,90,28,11,0
0:03:47,32.4,2,110,0,90,28,11,0
0:03:48,32,2,110,0,89,28,11,0
0:03:49,32,2,110,0,89,29,11,0
0:03:50,32.4,2,110,0,90,29,11,0
0:03:51,32.4,2,110,0,90,29,11,0
0:03:52,32.4,2,110,0,90,29,11,0
0:03:53,32.4,2,110,0,90,29,11,0
0:03:54,32.4,2,110,0,90,29,11,0
0:03:55,32.8,2,110,0,91,29,11,0
0:03:56,32.8,2,110,0,91,29,11,0
0:03:57,32.4,2,110,0,90,30,11,0
0:03:58,32.4,2.1,110,0,90,30,11,0
0:03:59,32,2.1,110,0,89,30,11,0
0:04:00,32,2.1,110,0,89,30,11,0
0:04:01,32,2.1,110,0,89,30,11,0
0:04:02,32,2.1,110,0,89,30,11,0
0:04:03,32.4,2.1,110,0,90,30,11,0
0:04:04,32.4,2.1,110,0,90,30,11,0
0:04:05,32.4,2.1,110,0,90,31,11,0
0:04:06,32,2.1,110,0,89,31,11,0
0:04:07,32,2.1,110,0,89,31,11,0
0:04:08,32,2.1,110,0,89,31,11,0
0:04:09,32,2.2,110,0,89,31,11,0
0:04:10,32.4,2.2,110,0,90,31,11,0
0:04:11,32.4,2.2,110,0,90,31,11,0
0:04:12,32.4,2.2,110,0,90,31,11,0
0:04:13,32.4,2.2,110,0,90,32,11,0
0:04:14,32.4,2.2,110,0,90,32,11,0
0:04:15,32.4,2.2,110,0,90,32,11,0
0:04:16,32.4,2.2,110,0,90,32,11,0
0:04:17,32.4,2.2,110,0,90,32,11,0
0:04:18,32,2.2,110,0,89,32,11,0
0:04:19,32,2.2,110,0,89,32,11,0
0:04:20,32,2.3,110,0,89,32,11,0
0:04:21,32.4,2.3,110,0,90,33,11,0
0:04:22,32.4,2.3,110,0,90,33,11,0
0:04:23,32.8,2.3,110,0,91,33,11,0
0:04:24,33.8,2.3,110,0,94,33,11,0
0:04:25,33.8,2.3,110,0,94,33,11,0
0:04:26,33.5,2.3,110,0,93,33,11,0
0:04:27,33.5,2.3,110,0,93,33,11,0
0:04:28,33.1,2.3,110,0,92,33,11,0
0:04:29,32.8,2.3,110,0,91,34,11,0
0:04:30,32.8,2.3,110,0,91,34,11,0
0:04:31,32.8,2.4,110,0,91,34,11,0
0:04:32,32.8,2.4,110,0,91,34,11,0
0:04:33,32.8,2.4,110,0,91,34,11,0
0:04:34,32.8,2.4,110,0,91,34,11,0
0:04:35,32.8,2.4,110,0,91,34,11,0
0:04:36,32.8,2.4,110,0,91,35,11,0
0:04:37,32.8,2.4,110,0,91,35,11,0
0:04:38,32.8,2.4,110,0,91,35,11,0
0:04:39,32.8,2.4,110,0,91,35,11,0
0:04:40,32.8,2.4,110,0,91,35,11,0
0:04:41,32.8,2.4,110,0,91,35,11,0
0:04:42,33.1,2.5,110,0,92,35,11,0
0:04:43,33.1,2.5,110,0,92,35,11,0
0:04:44,32.8,2.5,110,0,91,36,11,0
0:04:45,32.8,2.5,110,0,91,36,11,0
0:04:46,32.8,2.5,110,0,91,36,11,0
0:04:47,32.8,2.5,110,0,91,36,11,0
0:04:48,32.8,2.5,110,0,91,36,11,0
0:04:49,32.8,2.5,110,0,91,36,11,0
0:04:50,32.8,2.5,110,0,91,36,11,0
0:04:51,32.8,2.5,110,0,91,36,11,0
0:04:52,32.8,2.5,110,0,91,37,11,0
0:04:53,32.8,2.6,110,0,91,37,11,0
0:04:54,32.8,2.6,110,0,91,37,11,0
0:04:55,32.8,2.6,110,0,91,37,11,0
0:04:56,32.8,2.6,110,0,91,37,11,0
0:04:57,32.8,2.6,110,0,91,37,11,0
0:04:58,32.8,2.6,110,0,91,37,11,0
0:04:59,32.4,2.6,130,0,90,37,13,0
0:05:00,32.4,2.6,150,0,90,38,15,0
0:05:01,32.4,2.6,150,0,90,38,15,0
0:05:02,32.4,2.6,150,0,90,38,15,0
0:05:03,32.4,2.6,150,0,90,38,15,0
0:05:04,32.4,2.7,150,0,90,38,15,0
0:05:05,32,2.7,150,0,89,39,16,0
0:05:06,32,2.7,150,0,89,39,16,0
0:05:07,31.7,2.7,150,0,88,39,16,0
0:05:08,31.7,2.7,150,0,88,39,16,0
0:05:09,32.4,2.7,150,0,90,39,15,0
0:05:10,32.4,2.7,150,0,90,39,15,0
0:05:11,32.4,2.7,150,0,90,40,15,0
0:05:12,32.8,2.7,150,0,91,40,15,0
0:05:13,32.8,2.7,150,0,91,40,15,0
0:05:14,32.8,2.7,150,0,91,40,15,0
0:05:15,32.8,2.8,150,0,91,40,15,0
0:05:16,32.4,2.8,150,0,90,40,15,0
0:05:17,32.4,2.8,150,0,90,41,15,0
0:05:18,32.4,2.8,150,0,90,41,15,0
0:05:19,32.4,2.8,150,0,90,41,15,0
0:05:20,32.4,2.8,150,0,90,41,15,0
0:05:21,32.4,2.8,150,0,90,41,15,0
0:05:22,32.4,2.8,150,0,90,41,15,0
0:05:23,32.4,2.8,150,0,90,42,15,0
0:05:24,32.4,2.8,150,0,90,42,15,0
0:05:25,32.8,2.8,150,0,91,42,15,0
0:05:26,32.4,2.9,150,0,90,42,15,0
0:05:27,32,2.9,150,0,89,42,16,0
0:05:28,32,2.9,150,0,89,43,16,0
0:05:29,32,2.9,150,0,89,43,16,0
0:05:30,32,2.9,150,0,89,43,16,0
0:05:31,32,2.9,150,0,89,43,16,0
0:05:32,32,2.9,150,0,89,43,16,0
0:05:33,32,2.9,150,0,89,43,16,0
0:05:34,32.4,2.9,150,0,90,44,15,0
0:05:35,32.8,2.9,150,0,91,44,15,0
0:05:36,32.8,2.9,150,0,91,44,15,0
0:05:37,32.4,2.9,150,0,90,44,15,0
0:05:38,32.4,3,150,0,90,44,15,0
0:05:39,32.4,3,150,0,90,44,15,0
0:05:40,32.4,3,150,0,90,45,15,0
0:05:41,32,3,150,0,89,45,16,0
0:05:42,32,3,150,0,89,45,16,0
0:05:43,32.4,3,150,0,90,45,15,0
0:05:44,32.4,3,150,0,90,45,15,0
0:05:45,32.4,3,150,0,90,45,15,0
0:05:46,32.4,3,150,0,90,46,15,0
0:05:47,33.1,3,150,0,92,46,15,0
0:05:48,33.1,3,150,0,92,46,15,0
0:05:49,33.1,3.1,150,0,92,46,15,0
0:05:50,32.8,3.1,150,0,91,46,15,0
0:05:51,32.8,3.1,150,0,91,47,15,0
0:05:52,32.4,3.1,150,0,90,47,15,0
0:05:53,32.4,3.1,150,0,90,47,15,0
